chunk_id,section_id,chunk_text,chunk_index
1,1,"Dengue symptoms include fever, headache, nausea, and muscle pain.",1
2,1,Severe dengue may cause internal bleeding and shock.,2
3,1,Mosquito control helps prevent dengue transmission.,3
4,1,COVID-19 vaccines reduce severe illness and hospitalization.,4
5,1,Vaccination programs improve public health outcomes.,5
6,1,Common vaccine side effects include fatigue and fever.,6
7,1,Diabetes management requires monitoring blood glucose levels.,7
8,1,Healthy diet and regular exercise are important for treatment.,8
9,1,Insulin therapy may be necessary for some patients.,9
10,1,Malaria spreads through infected mosquito bites.,10
11,1,Antimalarial medications help control infection.,11
12,1,Preventive mosquito nets reduce malaria transmission.,12
13,1,Hypertension increases the risk of heart disease and stroke.,13
14,1,Reducing salt intake and exercising regularly can help manage blood pressure.,14
15,1,Asthma causes inflammation of the airways and difficulty breathing.,15
16,1,"Common triggers include smoke, dust, and pollen.",16
17,1,Inhalers help control asthma symptoms.,17
18,1,"Stroke symptoms include sudden numbness, confusion, and difficulty speaking.",18
19,1,Early treatment improves survival rates and reduces disability.,19
20,1,Nutrition plays an important role in maintaining health.,20
21,1,Balanced diets containing fruits and vegetables reduce disease risk.,21
22,1,Mental health conditions such as anxiety and depression affect millions worldwide.,22
23,1,Counseling and medication may help improve mental well-being.,23
24,1,Cancer screening helps detect disease early and improves treatment outcomes.,24
25,1,Regular screenings are recommended for high-risk individuals.,25
26,1,Tuberculosis primarily affects the lungs and spreads through airborne droplets.,26
27,1,Early diagnosis and antibiotic treatment improve recovery outcomes.,27
28,1,"Obesity increases the risk of diabetes, hypertension, and heart disease.",28
29,1,Balanced nutrition and regular exercise help maintain healthy body weight.,29
30,1,"Pneumonia causes inflammation in the lungs and may result in cough, fever, and breathing difficulty.",30
31,1,Vaccination reduces severe infection risk.,31
32,1,Anxiety disorders affect emotional well-being and daily functioning.,32
33,1,Therapy and medication may help manage symptoms.,33
34,1,Heart disease is one of the leading causes of death worldwide.,34
35,1,Smoking cessation and physical activity reduce cardiovascular risk.,35
36,1,Tuberculosis primarily affects the lungs and spreads through airborne droplets released during coughing and sneezing.,36
37,1,Early diagnosis and antibiotic treatment improve recovery outcomes and reduce transmission risk.,37
38,1,"Obesity increases the risk of diabetes, hypertension, heart disease, and stroke.",38
39,1,Healthy eating habits and regular physical activity help maintain a healthy body weight and reduce obesity-related complications.,39
40,1,"Pneumonia causes inflammation in the lungs and may result in fever, cough, chest pain, and breathing difficulty.",40
41,1,Vaccination and early medical treatment reduce severe infection risk.,41
42,1,Heart disease is one of the leading causes of death worldwide.,42
43,1,"Smoking cessation, healthy nutrition, physical activity, and blood pressure management improve cardiovascular health.",43
44,1,Depression affects emotional well-being and daily functioning.,44
45,1,"Counseling, therapy, medication, and social support may help manage symptoms and improve quality of life.",45
46,1,Kidney disease may develop as a complication of diabetes and hypertension.,46
47,1,Early screening and blood pressure control help reduce the risk of kidney failure.,47
48,1,Regular physical activity improves both mental and physical health.,48
49,1,"Exercise strengthens the cardiovascular system, improves mood, and reduces stress levels.",49
50,1,Immunization programs reduce the spread of infectious diseases and strengthen community protection.,50
51,1,Vaccines help the immune system recognize and fight harmful pathogens.,51
52,1,Dehydration occurs when the body loses more fluids than it receives.,52
53,1,Severe dehydration may require oral rehydration therapy or intravenous fluids.,53
54,1,Lung cancer is strongly associated with smoking and exposure to harmful chemicals.,54
55,1,Early detection improves treatment success and survival rates.,55
56,1,"Anxiety disorders may cause excessive fear, nervousness, and difficulty concentrating.",56
57,1,Psychological therapy and medication may help reduce symptoms.,57
58,1,Chronic respiratory diseases affect breathing and lung function.,58
59,1,"Air pollution, smoking, and occupational hazards increase respiratory disease risk.",59
60,1,"Healthy nutrition includes balanced intake of fruits, vegetables, proteins, and whole grains.",60
61,1,Nutritious diets reduce the risk of chronic diseases and improve overall health.,61
62,1,Stroke occurs when blood supply to the brain is interrupted.,62
63,1,"Warning signs include numbness, confusion, speech difficulty, and sudden weakness on one side of the body.",63
64,1,Malnutrition weakens the immune system and increases vulnerability to infections.,64
65,1,Children and older adults are particularly at risk of malnutrition-related complications.,65
66,1,Asthma causes inflammation and narrowing of the airways.,66
67,1,Inhalers and avoiding environmental triggers help manage asthma symptoms.,67
68,1,"Vaccination campaigns have significantly reduced diseases such as polio, measles, and hepatitis.",68
69,1,Public health programs continue to improve global vaccination coverage.,69
70,1,COVID-19 spreads primarily through respiratory droplets and close contact.,70
71,1,"Vaccination, hand hygiene, and ventilation reduce infection risk.",71
72,1,Diabetes affects how the body regulates blood sugar levels.,72
73,1,"Poorly controlled diabetes may lead to kidney disease, nerve damage, and vision problems.",73
74,1,Hypertension often develops without noticeable symptoms.,74
75,1,"Long-term high blood pressure increases the risk of heart attack, stroke, and kidney disease.",75
76,1,"Mental health disorders affect thoughts, emotions, and behavior.",76
77,1,Early intervention and treatment improve long-term mental health outcomes.,77
78,1,Mosquito-borne diseases such as dengue and malaria remain major public health concerns in tropical regions.,78
79,1,Preventive mosquito control reduces disease transmission.,79
80,1,Public health education improves awareness of disease prevention and healthy lifestyles.,80
81,1,Community outreach programs help reduce preventable illnesses.,81
82,1,Antibiotic resistance occurs when bacteria become resistant to medicines previously used for treatment.,82
83,1,Responsible antibiotic use helps slow resistance development.,83
84,1,Cancer screening tests help detect disease during early stages when treatment is more effective.,84
85,1,Regular screening is recommended for high-risk populations.,85
86,1,Respiratory infections spread more easily in crowded environments with poor ventilation.,86
87,1,Proper hygiene and vaccination reduce infection spread.,87
88,1,Childhood immunization protects against several life-threatening diseases.,88
89,1,Vaccination schedules are designed to maximize immune protection during development.,89
90,1,Balanced diets rich in vitamins and minerals support immune function and healthy growth.,90
