query_id,query_text,query_timestamp
1,What are symptoms of dengue?,01-05-2026 10:00
2,How effective are COVID vaccines?,01-05-2026 10:05
3,How is diabetes managed?,01-05-2026 10:10
4,What causes malaria?,01-05-2026 10:15
5,What are common vaccine side effects?,01-05-2026 10:20
6,What are symptoms of asthma?,01-05-2026 10:25
7,How does tuberculosis spread?,01-05-2026 10:30
8,What causes heart disease?,01-05-2026 10:35
9,How can obesity be prevented?,01-05-2026 10:40
10,What are warning signs of stroke?,01-05-2026 10:45
11,How is pneumonia treated?,01-05-2026 10:50
12,What are common mental health disorders?,01-05-2026 10:55
13,How do vaccines improve public health?,01-05-2026 11:00
14,What are symptoms of hypertension?,01-05-2026 11:05
15,How does nutrition affect health?,01-05-2026 11:10
16,fever after mosquito bite,01-05-2026 11:15
17,Can stress increase blood pressure?,01-05-2026 11:20
18,Why do asthma attacks happen at night?,01-05-2026 11:25
19,Can diabetes damage kidneys?,01-05-2026 11:30
20,Why is my BP high even after exercise?,01-05-2026 11:35
21,Chest pain after exercise,01-05-2026 11:40
22,Can smoking worsen asthma?,01-05-2026 11:45
23,Why am I always tired even after sleeping?,01-05-2026 11:50
24,Can obesity increase diabetes risk?,01-05-2026 11:55
25,How dangerous is untreated hypertension?,01-05-2026 12:00
26,COVID fever not going away,01-05-2026 12:05
27,Why do I feel breathless at night?,01-05-2026 12:10
28,Can poor sleep affect mental health?,01-05-2026 12:15
29,Is chest pain always heart related?,01-05-2026 12:20
30,What causes dizziness with hypertension?,01-05-2026 12:25
31,fever after travelling,01-05-2026 12:30
32,Why does my chest hurt while running?,01-05-2026 12:35
33,severe headache after mosquito bite,01-05-2026 12:40
34,Can stress increase sugar levels?,01-05-2026 12:45
35,Why do I feel dizzy suddenly?,01-05-2026 12:50
36,Is high BP dangerous at my age?,01-05-2026 12:55
37,coughing for more than 2 weeks,01-05-2026 13:00
38,Why am I always thirsty?,01-05-2026 13:05
39,Can asthma become life threatening?,01-05-2026 13:10
40,difficulty breathing at night,01-05-2026 13:15
41,Why do vaccines cause fever sometimes?,01-05-2026 13:20
42,Can diabetes affect eyesight?,01-05-2026 13:25
43,symptoms of low blood pressure,01-05-2026 13:30
44,Why does my heart beat fast suddenly?,01-05-2026 13:35
45,chest tightness after exercise,01-05-2026 13:40
46,Is smoking linked to lung cancer?,01-05-2026 13:45
47,why am i losing weight suddenly,01-05-2026 13:50
48,symptoms of anxiety attack,01-05-2026 13:55
49,How can I improve heart health?,01-05-2026 14:00
50,Why is my blood sugar always high?,01-05-2026 14:05
51,Can obesity cause breathing problems?,01-05-2026 14:10
52,persistent cough with fever,01-05-2026 14:15
53,What foods help reduce hypertension?,01-05-2026 14:20
54,Can stress trigger asthma symptoms?,01-05-2026 14:25
55,Why does pneumonia cause chest pain?,01-05-2026 14:30
56,Is mental stress harmful to the heart?,01-05-2026 14:35
57,How dangerous is untreated diabetes?,01-05-2026 14:40
58,What causes sudden shortness of breath?,01-05-2026 14:45
59,Can high cholesterol cause stroke?,01-05-2026 14:50
60,Why do I feel weak after fever?,01-05-2026 14:55
61,Is obesity reversible with exercise?,01-05-2026 15:00
62,Can dehydration increase heart rate?,01-05-2026 15:05
63,symptoms of severe malaria,01-05-2026 15:10
64,Why do anxiety attacks happen suddenly?,01-05-2026 15:15
65,Can smoking increase blood pressure?,01-05-2026 15:20
66,symptoms of early diabetes,01-05-2026 15:25
67,How does dengue spread?,01-05-2026 15:30
68,Why do I feel tired all the time?,01-05-2026 15:35
69,What are signs of severe asthma?,01-05-2026 15:40
70,Can lack of sleep affect blood pressure?,01-05-2026 15:45
